RTU,CARD,,,,,,,
HWB_RTU,F000003c3CARD,,,,,,,
,,,,,,,,
rowID,CurrentDescription,CurrentIndex,CurrentWord,CurrentShift,NewDescription,NewIndex,NewWord,NewShift
F00005183SROW,HWB_GXP_GI1_CB2632_OC                        ,449,14,1,HWB_GXP_GI1_CB2632_311C_OCIT,2263,70,23
F0000517aSROW,HWB GXP CB2652 WB1 EARTH FAULT               ,438,13,22,HWB_GXP_WB1_CB2652_311C_EF,2273,71,1
F00005179SROW,HWB GXP CB2652 WB1 OVERCURRENT               ,437,13,21,HWB_GXP_WB1_CB2652_311C_OCIT,2274,71,2
F000051d4SROW,HWB_GXP_CB2548_POS                           ,530,16,18,HWB_GXP_BUS_CB2548_POSO,2307,72,3
F000051a6SROW,HWB_GXP_DIS2547_POS                          ,484,15,4,HWB_GXP_BUS_DIS2547_POSO,2309,72,5
F000051eeSROW,HWB_GXP_ESW2540_POS                          ,556,17,12,HWB_GXP_BUS_ES2540_POSO,2311,72,7
F000051d6SROW,HWB_GXP_CB2628_POS                           ,532,16,20,HWB_GXP_BUS_CB2628_POSO,2313,72,9
F000051b8SROW,HWB_GXP_BUSL1_DIS2627_POS                    ,502,15,22,HWB_GXP_BUS_DIS2627_POSO,2315,72,11
F00005200SROW,HWB_GXP_BUSL1_ESW2620_POS                    ,574,17,30,HWB_GXP_BUS_ES2620_POSO,2317,72,13
F000051bcSROW,HWB_GXP_BUSL2_DIS2637_POS                    ,506,15,26,HWB_GXP_BUS_DIS2637_POSO,2320,72,16
F00005202SROW,HWB_GXP_BUSL2_ESW2630_POS                    ,576,18,0,HWB_GXP_BUS_ES2630_POSO,2322,72,18
F0000517dSROW,HWB GXP CB2642 A LINE O/C                    ,443,13,27,HWB_GXP_GI2_CB2642_311C_OCIT,2327,72,23
F0000517eSROW,HWB GXP CB2642 A LINE ERT FLT                ,444,13,28,HWB_GXP_GI2_CB2642_311C_EF,2330,72,26
F00005210SROW,HWB_GXP_BUS_CPLR_CB2568_POSO                 ,590,18,14,HWB_GXP_BUS_CB2568_SEL451_POSO,2332,72,28
F000051aeSROW,HWB_GXP_BUSL1_DIS2577_POS                    ,492,15,12,HWB_GXP_BUS_DIS2577_SEL451_POSO,2338,73,2
F000051f4SROW,HWB_GXP_BUSL1_ESW2570_POS                    ,562,17,18,HWB_GXP_BUS_ES2570_SEL451_POSO,2340,73,4
F000051aaSROW,HWB_GXP_BUSK2_DIS2567_POS                    ,488,15,8,HWB_GXP_BUS_DIS2567_SEL451_POSO,2342,73,6
F000051f2SROW,HWB_GXP_BUSK2_ESW2560_POS                    ,560,17,16,HWB_GXP_BUS_ES2560_SEL451_POSO,2344,73,8
