RTU,CARD,,
490-RTU,i0000104aCARD,,
,,,
Description,RowID,Component,Attribute
7302.4A                ,i0000ff00SROW,DIG-490-1-54-200845,Digital Scanned Value,Associated Scanned Value
7302.4B                ,i0000ff05SROW,DIG-490-1-55-200846,Digital Scanned Value,Associated Scanned Value
7304.4A                ,i0000ff0aSROW,DIG-490-1-56-200847,Digital Scanned Value,Associated Scanned Value
7304.4B                ,i0000ff0fSROW,DIG-490-1-57-200848,Digital Scanned Value,Associated Scanned Value
GT FAULT TRIP - HBI    ,i0000ff14SROW,DIG-490-1-58-200849,Digital Scanned Value,Associated Scanned Value
GT102 FREQUENCY CONTROL,i0000ff19SROW,DIG-490-1-59-200850,Digital Scanned Value,Associated Scanned Value
GT102 LOAD FOLLOW CNTRL,i0000ff1eSROW,DIG-490-1-60-200851,Digital Scanned Value,Associated Scanned Value
GT102 LOAD MODE        ,i0000ff23SROW,DIG-490-1-61-200852,Digital Scanned Value,Associated Scanned Value
GT103 FREQUENCY CONTROL,i0000ff28SROW,DIG-490-1-62-200853,Digital Scanned Value,Associated Scanned Value
GT103 LOAD FOLLOW CNTRL,i0000ff2dSROW,DIG-490-1-63-200854,Digital Scanned Value,Associated Scanned Value
