GT104 FREQUENCY CONTROL,DIG-490-2-02-200856,Digital Scanned Value,Associated Scanned Value
GT104 LOAD FOLLOW CNTRL,DIG-490-2-03-200857,Digital Scanned Value,Associated Scanned Value
GT104 LOAD MODE        ,DIG-490-2-04-200858,Digital Scanned Value,Associated Scanned Value
GT301 LOAD MODE        ,DIG-490-2-05-200859,Digital Scanned Value,Associated Scanned Value
GT301 LOAD FOLLOW CNTRL,DIG-490-2-06-200860,Digital Scanned Value,Associated Scanned Value
GT302 LOAD MODE        ,DIG-490-2-07-200861,Digital Scanned Value,Associated Scanned Value
GT302 LOAD FOLLOW CNTRL,DIG-490-2-08-200862,Digital Scanned Value,Associated Scanned Value
BHP P.S PROTECTION     ,DIG-490-2-09-200863,Digital Scanned Value,Associated Scanned Value
7305.0,DIG-490-2-14-200867,Digital Scanned Value,Associated Scanned Value
7305.7,DIG-490-2-15-200868,Digital Scanned Value,Associated Scanned Value
7305.4A                ,DIG-490-2-16-200869,Digital Scanned Value,Associated Scanned Value
7305.4B                ,DIG-490-2-17-200870,Digital Scanned Value,Associated Scanned Value
7305.5,DIG-490-2-18-200871,Digital Scanned Value,Associated Scanned Value
SYS FREQ CONTROL       ,                   ,Digital Scanned Value,Associated Scanned Value
FIN-42                 ,                   ,Digital Scanned Value,Associated Scanned Value
FIN-52                 ,                   ,Digital Scanned Value,Associated Scanned Value
